question,scratch,answer
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read? The word problem can be solved by subtracting 16 from 19.  ,<scratch> 19 written as [10, 9]; 16 written as [10, 6]; subtract 10 from 10 - result 0; subtract 6 from 9 - result 3; Add results [0, 3]; 0 + 3; final result is 3.</scratch>,3
Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in? The word problem can be solved by subtracting 2 from 12.  ,<scratch> 12 written as [10, 2]; subtract 2 from 10 - result 8; 8 + 2; final result is 10.</scratch>,10
Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park? The word problem can be solved by subtracting 46 from 50.  ,<scratch> 50 written as [25, 25]; 46 written as [23, 23]; subtract 25 from 25 - result 0; subtract 23 from 23 - result 0; Add results [0, 0]; 0 + 0; final result is 0.</scratch>,4
3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence? The word problem can be solved by subtracting 4 from 5.  ,<scratch> 3 birds + 2 birds = 5 birds; 4 storks; 5 birds - 4 storks = 1 bird.</scratch>,1
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump? The word problem can be solved by subtracting 3 from 42.  ,<scratch> 9 inches + 33 inches = 42 inches; 42 inches - 3 inches = 39 inches.</scratch>,39
Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary. How many more push-ups than crunches did Zachary do? The word problem can be solved by subtracting 3 from 35.  ,<scratch> 35 written as [30, 5]; 3 written as [0, 3]; subtract 3 from 30 - result 27; subtract 87 from 3 - result -84; Add results [27, -84]; 27 - 84; final result is -57.</scratch>,57
Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now How many action figures did he add to the shelf? The word problem can be solved by subtracting 7 from 18.  ,<scratch> 8 written as [8]; 7 written as [7]; subtract 8 from 8 - result 0; subtract 7 from 10 - result 3; Add results [0, 3]; 0 + 3; final result is 3.</scratch>,3
Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left. How many more baseball cards than Ace cards does Nell have? The word problem can be solved by subtracting 149 from 415.  ,<scratch> 309 baseball cards + 356 Ace cards = 665 total cards; 665 total cards - 415 baseball cards = 250 Ace cards; 415 baseball cards - 250 Ace cards = 165 more baseball cards than Ace cards.</scratch>,266
At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding How many alligators were not hiding? The word problem can be solved by subtracting 40 from 97.  ,<scratch> 97 written as [90, 7]; 40 written as [40, 0]; subtract 40 from 97 - result 57.</scratch>,57
You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series How many more do you still have to read? The word problem can be solved by subtracting 8 from 14.  ,<scratch> 14 written as [10, 4]; 8 written as [8, 0]; subtract 8 from 10 - result 2; subtract 0 from 4 - result 4; Add results [2, 4]; 2 + 4; final result is 6.</scratch>,6
