Unnamed: 0,question,answer,equation,scratch,baseline results
27,"Brennan was researching his school project and had to download files from the internet to his computer to use for reference. After downloading 800 files, he deleted 70% of them because they were not helpful. He downloaded 400 more files but again realized that 3/5 of them were irrelevant. How many valuable files was he left with after deleting the unrelated files he downloaded in the second round?",400,160+240,<scratch> Adding 0 and 0 at digit level. Current carry is 0: 0 plus 0 plus carry gives 0: new carry is NaN: result is 0.  Adding 6 and 4 at digit level. Current carry is 0: 6 plus 4 plus carry gives 10: new carry is 1: result is 0.  Adding 1 and 2 at digit level. Current carry is 1: 1 plus 2 plus carry gives 4: new carry is NaN: result is 4. The overall result is 400</scratch>,"Brennan was researching his school project and had to download files from the internet to his computer to use for reference. After downloading 800 files, he deleted 70% of them because they were not helpful. He downloaded 400 more files but again realized that 3/5 of them were irrelevant. How many valuable files was he left with after deleting the unrelated files he downloaded in the second round?The answer to the problem is: many. He decided we need a nice print-out for each week/month. It made sense to have it here so that students learned that if teachers find a file that is too valuable, they feel confident to know where to put their own notes, too.
After careful consideration, I limited the print-out to books in his class that his teacher used often. There were books in all his classes that he simply gave to me as warrants for exchanges and other actions."
32,"A car is driving through a tunnel with many turns. After a while, the car must travel through a ring that requires a total of 4 right-hand turns. After the 1st turn, it travels 5 meters. After the 2nd turn, it travels 8 meters. After the 3rd turn, it travels a little further and at the 4th turn, it immediately exits the tunnel. If the car has driven a total of 23 meters around the ring, how far did it have to travel after the 3rd turn?",10,5+8+0,<scratch> Adding 5 and 8 at digit level. Current carry is 0: 5 plus 8 plus carry gives 13: new carry is 1: result is 3. 0 plus 0 plus carry gives 1: The overall result is 13</scratch>,"A car is driving through a tunnel with many turns. After a while, the car must travel through a ring that requires a total of 4 right-hand turns. After the 1st turn, it travels 5 meters. After the 2nd turn, it travels 8 meters. After the 3rd turn, it travels a little further and at the 4th turn, it immediately exits the tunnel. If the car has driven a total of 23 meters around the ring, how far did it have to travel after the 3rd turn?The answer to the problem is easy: when the car has driven a total of 5/23, it has crossed 0.33 sats. At the 1st trial, the car crossed just 2, since its speed was only 1.5 pm. At the 2nd and 3rd trial, the car started to increase its speed until the car reached a speed of 1/1000 sats.Finally after driving through the ring, you will see that"
33,"To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.",34,24+10,<scratch> Adding 4 and 0 at digit level. Current carry is 0: 4 plus 0 plus carry gives 4: new carry is NaN: result is 4.  Adding 2 and 1 at digit level. Current carry is 0: 2 plus 1 plus carry gives 3: new carry is NaN: result is 3. The overall result is 34</scratch>,"To make pizza, together with other ingredients, Kimber needs 10 cups of water, 16 cups of flour, and 1/2 times as many teaspoons of salt as the number of cups of flour. Calculate the combined total number of cups of water, flour, and teaspoons of salt that she needs to make the pizza.The answer to the problem is 115 cups of water, 16 cups of flour, and 58 cups of teaheat.
For eight cups of flour, fruits, and veggies, printlet's find the average number of grams per pound of flour. To print, printlets estimate. downloadable pdfhelp Print it out Take 3 ounces of flour, 18.5 grams of salt, 1"
34,"Mr. Sam shared a certain amount of money between his two sons, Ken and Tony. If Ken got $1750, and Tony got twice as much as Ken, how much was the money shared?",5250,1750+3500,<scratch> Adding 0 and 0 at digit level. Current carry is 0: 0 plus 0 plus carry gives 0: new carry is NaN: result is 0.  Adding 5 and 0 at digit level. Current carry is 0: 5 plus 0 plus carry gives 5: new carry is NaN: result is 5.  Adding 7 and 5 at digit level. Current carry is 0: 7 plus 5 plus carry gives 12: new carry is 1: result is 2.  Adding 1 and 3 at digit level. Current carry is 1: 1 plus 3 plus carry gives 5: new carry is NaN: result is 5. The overall result is 5250</scratch>,"Mr. Sam shared a certain amount of money between his two sons, Ken and Tony. If Ken got $1750, and Tony got twice as much as Ken, how much was the money shared?The answer to the problem is that when a brother can own two slaves, he makes the best potion that's come down the river. Meaning, even though a slave is doing what he's supposed to do, Ken might be stealing his liberty and Tony might learn some Christian trinkets or engineering skills. Sydney's admiration towards all man essay downloa ""
Mr. Pollen also offered her a taste of a superb sandwich, which looked nothing at all like a regular sand"
37,Five friends eat at a fast-food chain and order the following: 5 pieces of hamburger that cost $3 each, 4 sets of French fries that cost $1.20, 5 cups of soda that cost $0.5 each, and 1 platter of spaghetti that cost $2.7. How much will each of them pay if they will split the bill equally?:5:25/5:<scratch>Failed to generate scratch work</scratch>,"Five friends eat at a fast-food chain and order the following: 5 pieces of hamburger that cost $3 eachThe answer to the problem is not easy to know, since its nature is not easy to guess.
Delta the question is an example of a linear function. The answer goes on or off the coordinate axis while the input variable is represented on the given R form of Cartesian coordinates. In operation function, the functions get values from some data, and the function to do computation retrieves the most appropriate way to represent the value on the cartesian coordinates. We can understand optimization technique to have more suitable way or to have as many"
40,A concert ticket costs $40. Mr. Benson bought 12 tickets and received a 5% discount for every ticket bought that exceeds 10. How much did Mr. Benson pay in all?,476,400+76,<scratch> Adding 0 and 6 at digit level. Current carry is 0: 0 plus 6 plus carry gives 6: new carry is NaN: result is 6.  Adding 0 and 7 at digit level. Current carry is 0: 0 plus 7 plus carry gives 7: new carry is NaN: result is 7.  Adding 4 and 0 at digit level. Current carry is 0: 4 plus 0 plus carry gives 4: new carry is NaN: result is 4. The overall result is 476</scratch>,A concert ticket costs $40. Mr. Benson bought 12 tickets and received a 5% discount for every ticket bought that exceeds 10. How much did Mr. Benson pay in all?The answer to the problem is discounted. Invite the family to enjoy a thrilling up-scale party that will satisfy all taste buds. Celebrate in style with the guys with their 20th anniversary. Present Chord into 12in selectors! Immerse yourself in the music! It just works! Note: Cats will get the 2 keys or Easier Punk. 2 secoords activation extra! Radiant Together is a research study
41,Rachel and Sara want to attend a beauty and modeling contest. They both want to buy new pairs of shoes and dresses. Sara buys a pair of shoes which costs $50 and a dress which costs $200. How much should Rachel budget if she wants to spend twice as much as what Sara spent on the pair of shoes and dress?,500,100+400,<scratch> Adding 0 and 0 at digit level. Current carry is 0: 0 plus 0 plus carry gives 0: new carry is NaN: result is 0.  Adding 0 and 0 at digit level. Current carry is 0: 0 plus 0 plus carry gives 0: new carry is NaN: result is 0.  Adding 1 and 4 at digit level. Current carry is 0: 1 plus 4 plus carry gives 5: new carry is NaN: result is 5. The overall result is 500</scratch>,"Rachel and Sara want to attend a beauty and modeling contest. They both want to buy new pairs of shoes and dresses. Sara buys a pair of shoes which costs $50 and a dress which costs $200. How much should Rachel budget if she wants to spend twice as much as what Sara spent on the pair of shoes and dress?The answer to the problem is $250. A woman new to the family can live on cash. In this case, Sara will still eat like a rich person. Now the guy who is a total slacker for not bothering about a shoes and dresses does donate a pair of shoes and dresses to the family. The new guy could start at $250. Since he is a total slacker who has been given a chance to become poor, he does"
43,"An earthquake caused four buildings to collapse. Experts predicted that each following earthquake would have double the number of collapsing buildings as the previous one, since each one would make the foundations less stable. After three more earthquakes, how many buildings had collapsed including those from the first earthquake?",60,4+8+16+32,<scratch> Adding 4 and 6 at digit level. Current carry is 0: 4 plus 6 plus carry gives 10: new carry is 1: result is 0.  Adding 0 and 5 at digit level. Current carry is 1: 0 plus 5 plus carry gives 6: new carry is NaN: result is 6. The overall result is 60</scratch>,"An earthquake caused four buildings to collapse. Experts predicted that each following earthquake would have double the number of collapsing buildings as the previous one, since each one would make the foundations less stable. After three more earthquakes, how many buildings had collapsed including those from the first earthquake?The answer to the problem is that one would need guesses that are only approximate. A full study is therefore necessary. An amateur such as us usually cannot count on such prophecies of this magnitude. The resulting estimate from the inspected quake ground records included in this review ranged between 7.3 and 45.9 megatectae. The view has been accepted in the international community as a observation without a telescope, much like the snake myth of ichmosape crocodiles in"
45,"It's Ava's birthday party. Her parents bought a unicorn piñata for $13 and filled it with all of her favorite treats. They bought 4 bags of Reese's for $9 per bag, 3 bags of Snickers for $5 per bag, and 5 bags of Skittles for $7 per bag. How much did the unicorn piñata and the treats cost altogether?",99,13+36+15+35,<scratch> Adding 3 and 6 at digit level. Current carry is 0: 3 plus 6 plus carry gives 9: new carry is NaN: result is 9.  Adding 1 and 8 at digit level. Current carry is 0: 1 plus 8 plus carry gives 9: new carry is NaN: result is 9. The overall result is 99</scratch>,"It's Ava's birthday party. Her parents bought a unicorn piñata for $13 and filled it with all of her favorite treats. They bought 4 bags of Reese's for $9 per bag, 3 bags of Snickers for $5 per bag, and 5 bags of Skittles for $7 per bag. How much did the unicorn piñata and the treats cost altogether?The answer to the problem is that it is impossible to estimate the cost for Ava's birthday party. Let's look at our answer to the 😀.. $13 and 🥺 enormously!For example, you purchase a piñata and will get 3 straws, for $9 you'll get 2 straws, for $7 you'll get 1 straw, so if you don't pay for Parkett or Monopol"
47,"The file, 90 megabytes in size, downloads at the rate of 5 megabytes per second for its first 60 megabytes, and then 10 megabytes per second thereafter. How long, in seconds, does it take to download entirely?",15,12+3,<scratch> Adding 2 and 3 at digit level. Current carry is 0: 2 plus 3 plus carry gives 5: new carry is NaN: result is 5.  Adding 1 and 0 at digit level. Current carry is 0: 1 plus 0 plus carry gives 1: new carry is NaN: result is 1. The overall result is 15</scratch>,"The file, 90 megabytes in size, downloads at the rate of 5 megabytes per second for its first 60 megabytes, and then 10 megabytes per second thereafter. How long, in seconds, does it take to download entirely?The answer to the problem is to reduce the download volume if it is possible, if it is difficult to reduce it to something much smaller than a hamburger, if content and capacity are of equal importance, or if it is download to network (and not to disk) that requires some significant reductions, such as disarray.For the kids, it depends. The more Anon files they download, the lower their cognitive eye-trapped proflexivity and emotional vulnerability; for the adults,"
58,"A Statistics student wants to find out the average daily allowance of the middle school students. According to his survey, 2/3 of the students receive an average of $6 allowance per day while the rest gets an average of $4 a day. If he surveyed 60 students, what is the total amount of money those 60 students get in a day?",320,240+80,<scratch> Adding 0 and 0 at digit level. Current carry is 0: 0 plus 0 plus carry gives 0: new carry is NaN: result is 0.  Adding 4 and 8 at digit level. Current carry is 0: 4 plus 8 plus carry gives 12: new carry is 1: result is 2.  Adding 2 and 0 at digit level. Current carry is 1: 2 plus 0 plus carry gives 3: new carry is NaN: result is 3. The overall result is 320</scratch>,"A Statistics student wants to find out the average daily allowance of the middle school students. According to his survey, 2/3 of the students receive an average of $6 allowance per day while the rest gets an average of $4 a day. If he surveyed 60 students, what is the total amount of money those 60 students get in a day?The answer to the problem is $40.30 per day.
Liars get more marks.It is popular to give statements based on a survey. There are some cases in which it is not allowed, but the students can still learn and the teachers can do all things that they may desire to do from their chairs. The small numbers of give and take, get and gives, provides a crafting opportunity in the future for intelligent writers. The students can learn things through the process and developids by giving"
60,"Jerry’s two daughters play softball on different teams. They each have 8 games this season. Each team practices 4 hours for every game they play. If each game lasts for 2 hours, how many hours will Jerry spend at the field watching his daughters play and practice altogether?",96,32+64,<scratch> Adding 2 and 4 at digit level. Current carry is 0: 2 plus 4 plus carry gives 6: new carry is NaN: result is 6.  Adding 3 and 6 at digit level. Current carry is 0: 3 plus 6 plus carry gives 9: new carry is NaN: result is 9. The overall result is 96</scratch>,"Jerry’s two daughters play softball on different teams. They each have 8 games this season. Each team practices 4 hours for every game they play. If each game lasts for 2 hours, how many hours will Jerry spend at the field watching his daughters play and practice altogether?The answer to the problem is two hundred million, each coalition spent 80 years farming out the usage and legislating policy for all the children?
Our next question is how many voting days or months each coalition spends watching that existing game to select a new competitor?I think one way to think about it is that each's spending will take one and one-half election cycles per coalition at that time. If we count all the voting days (816) and 2"
63,"Shawna's workout goal is 30 situps. On Monday, Shawna was only able to do 12 situps, so she decided that she would make up for the rest on Tuesday. However, she was only able to do 19 situps on Tuesday. How many situps would Shawna have to do on Wednesday to meet her minimum goal and make up for the ones she didn't do?",59,30+18+11,<scratch> Adding 0 and 9 at digit level. Current carry is 0: 0 plus 9 plus carry gives 9: new carry is NaN: result is 9.  Adding 3 and 2 at digit level. Current carry is 0: 3 plus 2 plus carry gives 5: new carry is NaN: result is 5. The overall result is 59</scratch>,"Shawna's workout goal is 30 situps. On Monday, Shawna was only able to do 12 situps, so she decided that she would make up for the rest on Tuesday. However, she was only able to do 19 situps on Tuesday. How many situps would Shawna have to do on Wednesday to meet her minimum goal and make up for the ones she didn't do?The answer to the problem is one start every 15 days. So if Shawna was only able to get in 12 situps on the first day of this challenge, then she will score her minimum goal on the second day and become an internet millionaire!Well thought out and elegant creature. What a luxury. Enedemaggiore Inizio il 2 minuti mancato Keno. I'm cool, kid. He's a joker, because he threatens to tell his"
64,James earns $20 an hour while working at his main job.  He earns 20% less while working his second job.  He works 30 hours at his main job and half that much at his second job.  How much does he earn per week?,840,600+240,<scratch> Adding 0 and 0 at digit level. Current carry is 0: 0 plus 0 plus carry gives 0: new carry is NaN: result is 0.  Adding 0 and 4 at digit level. Current carry is 0: 0 plus 4 plus carry gives 4: new carry is NaN: result is 4.  Adding 6 and 2 at digit level. Current carry is 0: 6 plus 2 plus carry gives 8: new carry is NaN: result is 8. The overall result is 840</scratch>,"James earns $20 an hour while working at his main job.  He earns 20% less while working his second job.  He works 30 hours at his main job and half that much at his second job.  How much does he earn per week?The answer to the problem is that since both players have identical incomes, each is entitled to $20/hour per week, thus earning 40% less and getting less than $10 more in a year.Does this account for anything?Please help my understanding the difference between these two D-rails such that i can calculate what i get for say, Джейфердуазе, a special retirement fund for people who died when their Sponsored Job leaves (and there are likely people using"
65,Lee mows one lawn and charges $33. Last week he mowed 16 lawns and three customers each gave him a $10 tip. How many dollars did Lee earn mowing lawns last week?,558,528+30,<scratch> Adding 8 and 0 at digit level. Current carry is 0: 8 plus 0 plus carry gives 8: new carry is NaN: result is 8.  Adding 2 and 3 at digit level. Current carry is 0: 2 plus 3 plus carry gives 5: new carry is NaN: result is 5.  Adding 5 and 0 at digit level. Current carry is 0: 5 plus 0 plus carry gives 5: new carry is NaN: result is 5. The overall result is 558</scratch>,"Lee mows one lawn and charges $33. Last week he mowed 16 lawns and three customers each gave him a $10 tip. How many dollars did Lee earn mowing lawns last week?The answer to the problem is not high, and an inland ditch Teeton may be able to repair it. The tops of the pier breech, and the tower tower rolled in 80,000 gallons of water Tuesday night, while large cedar logs came down from the old job as well. We're trying to do different things this year, we've got an eye on the code, will we go, will we keep quiet? Of how many thousand gallons"
69,Carly collected 7 starfish with 5 arms each and one seastar with 14 arms. How many arms do the animals she collected have in total?,49,35+14,<scratch> Adding 5 and 4 at digit level. Current carry is 0: 5 plus 4 plus carry gives 9: new carry is NaN: result is 9.  Adding 3 and 1 at digit level. Current carry is 0: 3 plus 1 plus carry gives 4: new carry is NaN: result is 4. The overall result is 49</scratch>,"Carly collected 7 starfish with 5 arms each and one seastar with 14 arms. How many arms do the animals she collected have in total?The answer to the problem is 21 stars. Try to solve the problem by yourself!
So last night when I was curry unhappy (thank God for Dr.O!, he reminds us to participate in our plan) I wanted to make Cardamom Soup, but I did not have the proper recipe. And every time I read the bowl of Instant Noodles, I felt disappointed. I thought if I use kitchen's Instant Noodles, then I"
71,"At a flea market, Hillary sells handmade crafts for 12 dollars per craft. Today, Hillary sells 3 crafts and is given an extra 7 dollars from an appreciative customer. Later on, Hillary deposits 18 dollars from today's profits into her bank account. How many dollars is Hillary left with after making the deposit?",25,36+7,<scratch> Adding 6 and 7 at digit level. Current carry is 0: 6 plus 7 plus carry gives 13: new carry is 1: result is 3.  Adding 3 and 0 at digit level. Current carry is 1: 3 plus 0 plus carry gives 4: new carry is NaN: result is 4. The overall result is 43</scratch>,"At a flea market, Hillary sells handmade crafts for 12 dollars per craft. Today, Hillary sells 3 crafts and is given an extra 7 dollars from an appreciative customer. Later on, Hillary deposits 18 dollars from today's profits into her bank account. How many dollars is Hillary left with after making the deposit?The answer to the problem is eight dollars.Therefore, we can estimate that Hillary has:$$100 $ dollars in her bank account after depositing the money.She likely has money in her bank account that she can use on expenses, buy toys, and some of the above-no expenses, like renting the house, or having out hotel room and all other expenses that she has going, which is not costly. Besides, she probably doesn't have to have as much c"
75,"Dale and Andrew had breakfast at a cafe. A slice of toast costs £1, and eggs cost £3 each. Dale had 2 slices of toast and 2 eggs. Andrew had 1 slice of toast and 2 eggs. How much did their breakfast cost?",15,2+1+6+6,<scratch> Adding 2 and 3 at digit level. Current carry is 0: 2 plus 3 plus carry gives 5: new carry is NaN: result is 5.  Adding 0 and 1 at digit level. Current carry is 0: 0 plus 1 plus carry gives 1: new carry is NaN: result is 1. The overall result is 15</scratch>,"Dale and Andrew had breakfast at a cafe. A slice of toast costs £1, and eggs cost £3 each. Dale had 2 slices of toast and 2 eggs. Andrew had 1 slice of toast and 2 eggs. How much did their breakfast cost?The answer to the problem is £2.80 today! Hear Mr Dale and Mr Andrew say: Stop spending taxpayers' money on breakfast parties and this will be resolved'.
Thank you Dave. Trolled me right back here!
Thepostmanupdated at 13:36
Labels: Bound 1, news, Osborne, TSTEVes
Match if Osborne v TSteve: Overseas Tour Tony Jazz (Man) – An Inter"
76,"A garden produced 237 potatoes, 60 fewer cucumbers and twice as many peppers than the cucumbers. How many vegetables did the garden produce?",768,237+177+354,<scratch> Adding 7 and 1 at digit level. Current carry is 0: 7 plus 1 plus carry gives 8: new carry is NaN: result is 8.  Adding 3 and 3 at digit level. Current carry is 0: 3 plus 3 plus carry gives 6: new carry is NaN: result is 6.  Adding 2 and 5 at digit level. Current carry is 0: 2 plus 5 plus carry gives 7: new carry is NaN: result is 7. The overall result is 768</scratch>,"A garden produced 237 potatoes, 60 fewer cucumbers and twice as many peppers than the cucumbers. How many vegetables did the garden produce?The answer to the problem is about 680, the difference between the 680 and the 600 recorded on the records.
A garden produced 743 peppers, 185 potatoes, 292 cucumbers, 726 eggplants, 151squares, 65cent.And gives or produces approximately tens of thousands more because, according to the statistics, 215 of all vegetable crops failed the"
79,James spends 40 years teaching.  His partner has been teaching for 10 years less.  How long is their combined experience?,70,40+30,<scratch> Adding 0 and 0 at digit level. Current carry is 0: 0 plus 0 plus carry gives 0: new carry is NaN: result is 0.  Adding 4 and 3 at digit level. Current carry is 0: 4 plus 3 plus carry gives 7: new carry is NaN: result is 7. The overall result is 70</scratch>,"James spends 40 years teaching.  His partner has been teaching for 10 years less.  How long is their combined experience?The answer to the problem is problematic.  I think Eric memorized under his eye the customs of English teaching drama, here in England, and it seems long enough.  The problem is, I don't know if it has been nearly that many generations and I am a bit cranky about actor training.
Erlene and I were at the pot and the pot put the cake in the pot and we shoved in the sugar in pot and we drank the milk seeing it all happen"
