question,scratch,answer
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read? The word problem can be solved by subtracting 16 from 19.  ,<scratch> 19 - 16;   3 (write down 3). </scratch>,3
Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in? The word problem can be solved by subtracting 2 from 12.  ,<scratch> 12 - 2;   10 - 2 = 8. The result is 8. </scratch>,8
Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park? The word problem can be solved by subtracting 46 from 50.  ,<scratch> 50 - 46;   Borrow 1 from the next digit.   9 becomes 10.   0 - 6 = 4 (write down 4).   4 - 4 = 0 (write down 0). The result is 4. </scratch>,4
3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence? The word problem can be solved by subtracting 4 from 5.  ,<scratch> 5 - 4;   1 (write down 1). The result is 1. </scratch>,1
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump? The word problem can be solved by subtracting 3 from 42.  ,<scratch> 42 - 3;   Borrow 1 from the next digit.   9 becomes 10.   0 - 2 = 8 (write down 8).   8 - 3 = 5 (write down 5). The result is 39. </scratch>,39
Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary. How many more push-ups than crunches did Zachary do? The word problem can be solved by subtracting 3 from 35.  ,<scratch> 35 - 3;   32. </scratch>,32
Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now How many action figures did he add to the shelf? The word problem can be solved by subtracting 7 from 18.  ,<scratch> 18 - 7;   Borrow 1 from the next digit.   9 becomes 10.   0 - 7 = 3 (write down 3).   3 - 0 = 3. The result is 11. </scratch>,11
Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left. How many more baseball cards than Ace cards does Nell have? The word problem can be solved by subtracting 149 from 415.  ,<scratch> 415 - 149;   Borrow 1 from the next digit.   9 becomes 10.   0 - 9 = 1 (write down 1).   1 - 4 = -3 (write down -3).   The result is 266. </scratch>,266
At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding How many alligators were not hiding? The word problem can be solved by subtracting 40 from 97.  ,<scratch> 97 - 40;   Borrow 1 from the next digit.   9 becomes 10.   0 - 0 = 0 (write down 0).   7 - 4 = 3 (write down 3). The result is 57. </scratch>,57
You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series How many more do you still have to read? The word problem can be solved by subtracting 8 from 14.  ,<scratch> 14 - 8;   Borrow 1 from the next digit.   9 becomes 10.   0 - 8 = 6 (write down 6).   6 - 0 = 6. The result is 6. </scratch>,6
Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind? This word problem can be solved by subtracting 29.0 from 60.0. ,<scratch> 60 - 29;   Borrow 1 from the next digit.   9 becomes 10.   0 - 9 = 1 (write down 1).   1 - 2 = -1 (write down -1). The result is 31. </scratch>, 31
